({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9879518072289156')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9162011173184358')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9371428571428572')
({'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9030303030303031')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9551282051282052')
({'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9551282051282052')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9371069182389937')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.934640522875817')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9533333333333334')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9050632911392406')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9794520547945206')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9166666666666666')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9407894736842105')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9256756756756757')
({'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9716312056737588')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9013157894736842')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9513888888888888')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9927536231884058')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9383561643835616')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9785714285714285')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9133333333333333')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9647887323943662')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9358974358974359')
({'el-salvador-aid: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.906832298136646')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9864864864864865')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9182389937106918')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9125')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9019607843137255')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.92')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9139072847682119')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9139072847682119')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9857142857142858')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9261744966442953')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9324324324324325')
({'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9361702127659575')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9166666666666666')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9565217391304348')
({'el-salvador-aid: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9166666666666666')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9361702127659575')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9850746268656716')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9295774647887324')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9565217391304348')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9407894736842105')
({'mx-missile: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9662162162162162')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9285714285714286')
({'mx-missile: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9285714285714286')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9637681159420289')
({'mx-missile: yes', 'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9300699300699301')
({'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9230769230769231')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.972972972972973')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9230769230769231')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9290322580645162')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9383561643835616')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9072847682119205')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9072847682119205')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9785714285714285')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9383561643835616')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9319727891156463')
({'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'physician-fee-freeze: no'}, 'confidence: 0.9432624113475178')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.910958904109589')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.95')
({'el-salvador-aid: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9236111111111112')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9432624113475178')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9925373134328358')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9366197183098591')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9568345323741008')
({'mx-missile: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9101796407185628')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9382716049382716')
({'mx-missile: yes', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.95')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9620253164556962')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9101796407185628')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.987012987012987')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.926829268292683')
({'mx-missile: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9225806451612903')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9662162162162162')
({'mx-missile: yes', 'physician-fee-freeze: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9662162162162162')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.934640522875817')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9562043795620438')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.903448275862069')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'mx-missile: yes', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9703703703703703')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.916083916083916')
({'superfund-right-to-sue: no', 'mx-missile: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9849624060150376')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'mx-missile: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9357142857142857')
({'mx-missile: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9032258064516129')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9459459459459459')
({'mx-missile: yes', 'el-salvador-aid: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9859154929577465')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'mx-missile: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9090909090909091')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9058823529411765')
({'el-salvador-aid: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9565217391304348')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9685534591194969')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9166666666666666')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9871794871794872')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9333333333333333')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9230769230769231')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9536423841059603')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9664429530201343')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9171974522292994')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9863013698630136')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.935064935064935')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'physician-fee-freeze: no'}, 'confidence: 0.9210526315789473')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9333333333333333')
({'el-salvador-aid: no', 'crime: no'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9150326797385621')
({'el-salvador-aid: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9722222222222222')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'crime: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9333333333333333')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9859154929577465')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'crime: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9395973154362416')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9859154929577465')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'crime: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.958904109589041')
({'superfund-right-to-sue: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9178082191780822')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9640287769784173')
({'superfund-right-to-sue: no', 'physician-fee-freeze: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9571428571428572')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9305555555555556')
({'crime: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.950354609929078')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'education-spending: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9436619718309859')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9925925925925926')
({'physician-fee-freeze: no', 'education-spending: no', 'crime: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9115646258503401')
({'physician-fee-freeze: no', 'education-spending: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9571428571428572')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'education-spending: no', 'crime: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9571428571428572')
({'mx-missile: yes', 'physician-fee-freeze: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9256756756756757')
({'mx-missile: yes', 'el-salvador-aid: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9647887323943662')
({'el-salvador-aid: no', 'mx-missile: yes', 'physician-fee-freeze: no', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9256756756756757')
({'religious-groups-in-schools: yes', 'physician-fee-freeze: yes', 'crime: yes'}, {'el-salvador-aid: yes', 'Class Name: republican'}, 'confidence: 0.9006622516556292')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'physician-fee-freeze: yes', 'crime: yes'}, {'Class Name: republican'}, 'confidence: 0.918918918918919')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'el-salvador-aid: yes', 'physician-fee-freeze: yes', 'crime: yes'}, 'confidence: 0.912751677852349')
({'religious-groups-in-schools: yes', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9251700680272109')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'Class Name: republican'}, {'physician-fee-freeze: yes', 'crime: yes'}, 'confidence: 0.9379310344827586')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'crime: yes'}, 'confidence: 0.9444444444444444')
({'el-salvador-aid: yes', 'Class Name: republican', 'crime: yes'}, {'religious-groups-in-schools: yes', 'physician-fee-freeze: yes'}, 'confidence: 0.912751677852349')
({'el-salvador-aid: yes', 'Class Name: republican', 'physician-fee-freeze: yes', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.918918918918919')
({'religious-groups-in-schools: yes', 'Class Name: republican', 'crime: yes'}, {'el-salvador-aid: yes', 'physician-fee-freeze: yes'}, 'confidence: 0.9714285714285714')
({'religious-groups-in-schools: yes', 'Class Name: republican', 'physician-fee-freeze: yes', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9784172661870504')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'Class Name: republican', 'crime: yes'}, {'physician-fee-freeze: yes'}, 'confidence: 0.9927007299270073')
({'religious-groups-in-schools: yes', 'physician-fee-freeze: yes', 'crime: yes'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9072847682119205')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'physician-fee-freeze: yes', 'crime: yes'}, {'mx-missile: no'}, 'confidence: 0.9256756756756757')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes', 'crime: yes'}, 'confidence: 0.9383561643835616')
({'el-salvador-aid: yes', 'mx-missile: no', 'physician-fee-freeze: yes', 'religious-groups-in-schools: yes'}, {'crime: yes'}, 'confidence: 0.9448275862068966')
({'mx-missile: no', 'physician-fee-freeze: yes', 'crime: yes'}, {'religious-groups-in-schools: yes', 'el-salvador-aid: yes'}, 'confidence: 0.9383561643835616')
({'el-salvador-aid: yes', 'mx-missile: no', 'physician-fee-freeze: yes', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9448275862068966')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'physician-fee-freeze: yes', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9927536231884058')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'el-salvador-aid: yes', 'mx-missile: no', 'physician-fee-freeze: yes'}, 'confidence: 0.912751677852349')
({'religious-groups-in-schools: yes', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes', 'mx-missile: no'}, 'confidence: 0.9251700680272109')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'Class Name: republican'}, {'mx-missile: no', 'physician-fee-freeze: yes'}, 'confidence: 0.9379310344827586')
({'religious-groups-in-schools: yes', 'el-salvador-aid: yes', 'Class Name: republican', 'physician-fee-freeze: yes'}, {'mx-missile: no'}, 'confidence: 0.9444444444444444')
({'religious-groups-in-schools: yes', 'mx-missile: no', 'physician-fee-freeze: yes'}, {'el-salvador-aid: yes', 'Class Name: republican'}, 'confidence: 0.9315068493150684')
